id,latitude,longitude,address,sq_mt_built,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,floor,buy_price,is_renewal_needed,has_lift,is_exterior,energy_certificate,has_parking,neighborhood,district,house_type,Unnamed: 0,title,subtitle,sq_mt_useful,raw_address,is_exact_address_hidden,street_name,street_number,portal,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price_by_area,is_buy_price_known,house_type_id,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
3884,40.4275301,-3.699471292403117,"Calle de Mejía Lequerica, 17, Chueca-Justicia, Madrid",143.0,3,2,1,0.0,4,875000,False,True,True,0,False,20,4,1,17858,"Piso en venta en calle de Mejía Lequerica, 17","Chueca-Justicia, Madrid",129.0,"Calle de Mejía Lequerica, 17",False,Calle de Mejía Lequerica,17,,False,,Neighborhood 20: Chueca-Justicia (6029.36 €/m2) - District 4: Centro,sale,2452,,False,6119,True,HouseType 1: Pisos,False,1900.0,False,True,,True,True,,,,True,,,,,,,,,,False,False,False,True
3883,40.4106817,-3.6957876,"Calle de Atocha, 74, Lavapiés-Embajadores, Madrid",54.0,1,1,1,0.0,3,249000,False,True,False,0,False,22,4,1,17859,"Piso en venta en calle de Atocha, 74","Lavapiés-Embajadores, Madrid",,"Calle de Atocha, 74",False,Calle de Atocha,74,,False,,Neighborhood 22: Lavapiés-Embajadores (4448.3 €/m2) - District 4: Centro,sale,1064,,False,4611,True,HouseType 1: Pisos,False,,,,,True,True,,,,,,,,,,,,,,,,,
3882,40.41163755,-3.717672778352568,"Ronda de Segovia, 17, Palacio, Madrid",121.0,4,2,1,0.0,2,429000,True,True,False,0,True,24,4,1,17860,"Piso en venta en ronda de Segovia, 17","Palacio, Madrid",110.0,"Ronda de Segovia, 17",False,Ronda de Segovia,17,,False,,Neighborhood 24: Palacio (4693.52 €/m2) - District 4: Centro,sale,1505,,False,3545,True,HouseType 1: Pisos,False,,True,False,,True,,,,,True,,,,True,,,,True,0.0,False,True,False,True
3881,40.41536845,-3.705699834324989,"Plaza de Santa Cruz, 6, Sol, Madrid",59.0,2,1,1,0.0,1,170000,True,False,True,0,False,25,4,1,17861,"Piso en venta en plaza de Santa Cruz, 6","Sol, Madrid",48.0,"Plaza de Santa Cruz, 6",False,Plaza de Santa Cruz,6,,False,,Neighborhood 25: Sol (5390.99 €/m2) - District 4: Centro,sale,816,,False,2881,True,HouseType 1: Pisos,False,1900.0,,,,,,,,,,,,,,,,,,,,,,
3880,40.421148,-3.698849,"Calle de San Bartolomé, Chueca-Justicia, Madrid",67.0,2,1,1,0.0,1,450000,False,False,True,3,False,20,4,1,17862,Piso en venta en calle de San Bartolomé,"Chueca-Justicia, Madrid",,Calle de San Bartolomé,True,Calle de San Bartolomé,,,False,,Neighborhood 20: Chueca-Justicia (6029.36 €/m2) - District 4: Centro,sale,1553,,False,6716,True,HouseType 1: Pisos,False,,,,,,,,,,,,,,,,,,,,False,True,False,False
3877,40.423402,-3.6998745,"Calle de Hernán Cortés, 10, Chueca-Justicia, Madrid",52.0,1,1,2,0.0,4,420000,False,True,True,0,False,20,4,4,17865,"Dúplex en venta en calle de Hernán Cortés, 10","Chueca-Justicia, Madrid",,"Calle de Hernán Cortés, 10",False,Calle de Hernán Cortés,10,,False,,Neighborhood 20: Chueca-Justicia (6029.36 €/m2) - District 4: Centro,sale,1485,,False,8077,True,HouseType 4: Dúplex,False,,False,True,,True,,,,True,,,,,,,,,,,,,,
3876,40.4106154,-3.7068749,"Calle de Embajadores, Lavapiés-Embajadores, Madrid",35.0,1,1,1,0.0,2,205000,True,False,False,0,False,22,4,1,17866,Piso en venta en calle de Embajadores,"Lavapiés-Embajadores, Madrid",32.0,Calle de Embajadores,True,Calle de Embajadores,,,False,,Neighborhood 22: Lavapiés-Embajadores (4448.3 €/m2) - District 4: Centro,sale,933,,False,5857,True,HouseType 1: Pisos,False,1860.0,,,,True,,,,,,,,,,,,,,,True,False,False,False
3875,40.4263454,-3.7045338,"PALMA, 35, Malasaña-Universidad, Madrid",88.0,2,2,1,0.0,3,520000,False,True,True,0,False,23,4,1,17867,"Piso en venta en PALMA, 35","Malasaña-Universidad, Madrid",77.0,"PALMA, 35",False,PALMA,35,,False,,Neighborhood 23: Malasaña-Universidad (5196.25 €/m2) - District 4: Centro,sale,1712,,False,5909,True,HouseType 1: Pisos,False,1900.0,False,True,,True,True,,,,True,,,,,,,,,,True,False,False,True
3869,40.4220808,-3.7026213,"Calle del Barco, Malasaña-Universidad, Madrid",45.0,0,1,1,0.0,-1,165000,True,False,True,0,False,23,4,3,17873,Estudio en venta en calle del Barco,"Malasaña-Universidad, Madrid",35.0,Calle del Barco,True,Calle del Barco,,,True,,Neighborhood 23: Malasaña-Universidad (5196.25 €/m2) - District 4: Centro,sale,798,,False,3667,True,,False,,False,True,,True,True,,,,,,,,,,,,,,,,,
3868,40.4140767,-3.707388,"Calle de Toledo, 21, Sol, Madrid",155.0,4,1,1,0.0,1,465000,True,True,True,0,False,25,4,1,17874,"Piso en venta en calle de Toledo, 21","Sol, Madrid",,"Calle de Toledo, 21",False,Calle de Toledo,21,,False,,Neighborhood 25: Sol (5390.99 €/m2) - District 4: Centro,sale,1587,,False,3000,True,HouseType 1: Pisos,False,1880.0,True,False,,,,,,,True,True,,,,,,,,,,,,
